Area,Room,Parking,Warehouse,Elevator,Address,Price(USD),tartib
63,1,1,1,1,Shahran,61666.67,1
60,1,1,1,1,Shahran,61666.67,2
79,2,1,1,1,Pardis,18333.33,3
95,2,1,1,1,Shahrake Qods,30083.33,4
123,2,1,1,1,Shahrake Gharb,233333.33,5
70,2,1,1,0,North Program Organization,68333.33,6
87,2,1,1,1,Pardis,20000,7
59,1,1,1,1,Shahran,71666.67,8
54,2,1,1,0,Andisheh,16433.33,9
71,1,1,1,1,West Ferdows Boulevard,79000,10
68,2,1,1,1,West Ferdows Boulevard,81666.67,11
64,1,1,1,1,Narmak,70000,12
54,1,0,1,1,Narmak,56333.33,13
136,3,1,1,1,Saadat Abad,366666.67,14
95,2,1,1,1,Zafar,166666.67,15
63,1,0,1,0,Islamshahr,19000,16
155,3,1,1,1,Narmak,223333.33,17
64,2,0,1,0,Pirouzi,48333.33,18
140,3,1,1,1,West Ferdows Boulevard,213333.33,19
42,1,0,1,0,Pirouzi,46333.33,20
93,2,1,1,1,Shahrake Gharb,233333.33,21
87,2,1,1,1,Shahrake Shahid Bagheri,83333.33,22
65,1,1,1,1,Shahran,62666.67,23
99,2,1,1,1,Moniriyeh,75900,24
105,2,1,1,1,Saadat Abad,238333.33,25
160,3,1,1,1,Velenjak,498166.67,26
77,2,1,1,1,Amirieh,59033.33,27
123,2,1,1,1,Pirouzi,135300,28
110,2,1,1,1,Southern Janatabad,21000,29
100,2,1,1,1,West Ferdows Boulevard,106666.67,30
90,2,0,1,0,Salsabil,50000,31
49,1,1,1,1,West Ferdows Boulevard,73333.33,32
96,2,1,1,1,Zargandeh,262400,33
67,2,1,1,0,Feiz Garden,78333.33,34
68,2,1,1,1,West Ferdows Boulevard,83333.33,35
62,1,1,0,1,Water Organization,71666.67,36
55,1,1,1,1,West Ferdows Boulevard,71666.67,37
110,2,1,1,1,West Ferdows Boulevard,125000,38
129,2,1,1,1,West Ferdows Boulevard,175000,39
109,2,1,1,1,West Ferdows Boulevard,161000,40
58,1,1,1,1,Saadat Abad,113333.33,41
55,1,1,1,1,Saadat Abad,128333.33,42
150,2,0,1,1,Shahrake Qods,40000,43
130,3,1,1,0,ShahrAra,166666.67,45
88,2,1,1,1,Gisha,158333.33,46
51,1,1,1,1,Gisha,99333.33,47
113,3,1,1,0,Shahrake Gharb,233333.33,48
110,2,1,1,1,Ray,67833.33,49
60,1,1,1,1,Abbasabad,82000,50
98,2,1,1,1,Pardis,18000,51
62,2,0,0,1,Ostad Moein,48333.33,52
150,3,1,1,1,Farmanieh,333333.33,53
75,2,0,0,0,Parand,21166.67,54
61,1,1,1,0,Punak,67666.67,55
61,1,1,1,0,Punak,67666.67,56
72,2,1,1,1,Shahran,78333.33,57
100,2,1,1,1,Qasr-od-Dasht,100000,58
122,3,1,1,1,Aqdasieh,240000,59
215,3,1,1,1,Pakdasht,58333.33,60
101,2,1,1,1,Railway,110000,61
67,2,1,1,1,Punak,93333.33,62
72,2,1,1,0,Punak,73333.33,63
63,1,1,1,0,Punak,73333.33,64
75,2,1,1,0,Punak,73333.33,65
109,2,1,1,1,Shahran,116666.67,66
122,2,1,1,1,Aqdasieh,233333.33,67
70,1,1,1,1,Central Janatabad,103333.33,68
60,1,1,1,1,West Ferdows Boulevard,81666.67,69
53,1,1,1,0,East Ferdows Boulevard,64000,70
90,1,0,1,0,Pakdasht KhatunAbad,28333.33,71
72,2,1,1,1,Amirieh,55000,72
74,2,1,1,1,Amirieh,56666.67,73
88,3,0,0,1,Parand,18666.67,74
63,1,1,1,1,Punak,71666.67,75
114,3,1,1,1,Sattarkhan,183333.33,76
151,3,1,1,1,Saadat Abad,340000,77
42,1,1,0,1,Shahran,58666.67,78
74,2,1,1,1,Amirieh,56666.67,79
88,3,0,0,1,Parand,18666.67,80
63,1,1,1,1,Punak,71666.67,81
114,3,1,1,1,Sattarkhan,183333.33,82
151,3,1,1,1,Saadat Abad,340000,83
42,1,1,0,1,Shahran,58666.67,84
300,3,1,1,0,Baghestan,50000,85
110,2,1,1,1,West Ferdows Boulevard,124333.33,86
100,2,0,0,0,Shahrake Qods,20666.67,87
140,1,0,0,0,Shahryar,19333.33,88
70,2,1,1,1,Northern Janatabad,101666.67,89
60,2,1,1,0,West Ferdows Boulevard,66666.67,90
76,2,1,1,1,North Program Organization,86666.67,91
148,3,1,1,1,Daryan No,199666.67,92
75,2,1,1,1,North Program Organization,76666.67,93
40,1,1,1,0,Pirouzi,43333.33,94
65,2,1,1,1,Southern Program Organization,75666.67,95
140,3,1,1,1,Rudhen,133333.33,96
110,2,1,1,1,West Pars,133333.33,97
70,2,1,0,1,Afsarieh,55000,98
128,3,1,1,1,Marzdaran,223333.33,99
94,2,1,1,1,Parand,19333.33,100
67,1,1,1,1,Punak,76666.67,101
75,1,1,1,1,Shahrake Qods,21666.67,102
130,2,1,1,1,Dorous,563333.33,103
40,0,0,0,0,Shahrake Qods,8266.67,104
97,2,1,1,1,Pardis,17000,105
110,2,1,1,1,Shahran,128333.33,106
150,3,1,1,1,Sadeghieh,200000,107
75,2,0,0,0,Chahardangeh,26000,108
137,3,1,1,1,ShahrAra,240000,109
85,2,1,1,1,Parand,13666.67,110
68,2,0,1,0,Pakdasht,14333.33,111
78,2,0,1,0,Baqershahr,26666.67,112
85,2,1,1,1,Parand,18166.67,113
100,2,1,1,0,Parand,42666.67,114
71,2,1,1,1,Punak,93333.33,115
140,3,1,1,1,Gisha,373333.33,116
136,3,1,1,0,Parand,25000,117
48,1,0,0,0,Jeyhoon,28333.33,118
100,2,1,1,1,Lavizan,110000,119
82,2,1,0,1,Shams Abad,109333.33,120
120,3,1,1,1,Fatemi,160000,121
139,3,1,1,1,Gisha,243333.33,122
110,3,1,1,1,Keshavarz Boulevard,131666.67,123
78,2,0,0,1,Parand,12333.33,124
79,2,0,0,0,Baghestan,25000,125
66,2,1,1,1,Salsabil,57500,126
78,2,1,1,1,Kahrizak,26000,127
85,2,1,1,1,Shahryar,47300,128
100,2,1,1,0,Qarchak,40000,129
80,2,1,1,1,Northren Jamalzadeh,120000,130
44,1,1,1,0,Salsabil,35000,131
120,2,1,1,0,Shahryar,40000,132
50,1,0,1,0,Shahrake Qods,11333.33,133
121,3,1,1,0,Ostad Moein,110000,134
80,2,1,1,1,Azarbaijan,93333.33,135
70,2,0,1,1,Bahar,40000,136
160,1,0,0,0,Qarchak,120,137
40,0,0,0,0,Pakdasht,5500,138
88,2,1,1,1,Railway,95333.33,139
141,3,1,1,1,Persian Gulf Martyrs Lake,127000,140
140,3,1,1,1,Persian Gulf Martyrs Lake,59666.67,141
120,2,1,1,1,Persian Gulf Martyrs Lake,51000,142
66,2,0,1,0,Beryanak,33333.33,143
70,2,1,1,1,Punak,116666.67,144
75,2,1,0,1,Heshmatieh,100000,145
70,2,0,1,1,Elm-o-Sanat,60000,146
150,3,1,1,1,Saadat Abad,666666.67,147
95,2,1,1,1,Golestan,31666.67,148
127,2,1,1,1,Southern Janatabad,200000,149
123,3,1,1,1,Shahr-e-Ziba,123333.33,150
63,2,1,1,1,Southern Janatabad,66666.67,151
90,2,1,1,1,Punak,101666.67,152
105,2,1,1,1,Pardis,20166.67,153
180,3,1,1,1,Pasdaran,330000,154
120,3,1,0,1,Pirouzi,123333.33,155
65,2,1,1,1,Feiz Garden,83333.33,156
158,3,1,1,1,Farmanieh,349333.33,157
144,3,1,1,1,Chardivari,254400,158
144,3,1,1,1,Punak,254400,159
130,3,1,1,1,Gheitarieh,410000,160
245,3,1,1,1,Farmanieh,898333.33,161
190,3,1,1,1,Kamranieh,810000,162
63,2,1,1,1,Central Janatabad,100000,163
75,2,1,1,1,East Ferdows Boulevard,70000,164
88,2,1,0,1,Gholhak,156666.67,165
108,2,1,1,1,Pasdaran,306000,166
117,2,1,1,1,Islamshahr,52650,167
200,3,1,1,1,Pasdaran,400000,168
65,1,1,1,0,Pirouzi,58333.33,169
90,2,1,1,1,Central Janatabad,126000,170
125,2,1,1,1,Heravi,270000,171
140,3,1,1,1,Heravi,303333.33,172
71,2,0,1,1,Hashemi,51666.67,173
71,2,0,1,1,Jeyhoon,54666.67,174
236,4,1,1,1,Gheitarieh,666666.67,175
67,2,1,1,1,Central Janatabad,91666.67,176
60,1,1,1,1,Punak,58333.33,177
220,3,1,1,1,Heravi,513333.33,178
44,1,1,1,0,Andisheh,11666.67,179
68,1,1,1,1,Heravi,137166.67,180
100,2,1,1,1,Pasdaran,266666.67,181
86,2,1,1,1,Pardis,19333.33,182
84,2,1,1,1,Pardis,18666.67,183
94,2,1,1,1,Heravi,160000,184
55,1,0,1,0,West Ferdows Boulevard,51666.67,185
113,2,1,1,1,Saadat Abad,250000,186
71,2,1,1,1,Islamshahr,21000,187
70,2,1,1,0,Dehkade Olampic,66666.67,188
200,3,1,1,1,Golestan,80000,189
106,2,1,1,1,Golestan,36666.67,190
320,4,1,1,1,Saadat Abad,800000,191
